X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
0 ~ 10,2005년 01월,12311,0,0,0,10387,10,359,0,1555
0 ~ 10,2005년 02월,12861,0,0,0,11571,10,168,1,1111
0 ~ 10,2005년 03월,12347,0,0,0,11077,16,184,0,1070
0 ~ 10,2005년 04월,10315,0,0,0,8726,8,495,1,1085
0 ~ 10,2005년 05월,9969,0,0,0,8914,11,272,0,772
0 ~ 10,2005년 06월,12621,0,0,0,11355,16,378,0,872
0 ~ 10,2005년 07월,19381,0,0,0,17263,16,653,3,1446
0 ~ 10,2005년 08월,22007,0,0,0,18861,18,624,5,2499
0 ~ 10,2005년 09월,8632,0,0,0,7354,13,287,1,977
0 ~ 10,2005년 10월,9377,0,0,0,8448,8,235,1,685
0 ~ 10,2005년 11월,8766,0,0,0,7907,4,296,1,558
0 ~ 10,2005년 12월,18365,0,0,0,16882,9,303,0,1171
0 ~ 10,2006년 01월,13055,12311,0.06,0,11221,10,345,1,1478
0 ~ 10,2006년 02월,7780,12861,-0.395,0,6748,10,177,3,842
0 ~ 10,2006년 03월,9753,12347,-0.21,0,8741,12,190,0,810
0 ~ 10,2006년 04월,11003,10315,0.067,0,9391,17,493,0,1102
0 ~ 10,2006년 05월,11048,9969,0.108,0,10155,14,256,0,623
0 ~ 10,2006년 06월,12270,12621,-0.028,0,11165,17,369,2,717
0 ~ 10,2006년 07월,17761,19381,-0.084,0,15961,9,598,0,1193
0 ~ 10,2006년 08월,21876,22007,-0.006,0,19201,16,560,1,2098
0 ~ 10,2006년 09월,7782,8632,-0.098,0,7009,20,247,1,505
0 ~ 10,2006년 10월,10027,9377,0.069,0,8736,6,220,0,1065
0 ~ 10,2006년 11월,8618,8766,-0.017,0,7830,6,258,0,524
0 ~ 10,2006년 12월,19670,18365,0.071,0,18610,7,201,0,852
0 ~ 10,2007년 01월,11356,13055,-0.13,0,9723,10,337,3,1283
0 ~ 10,2007년 02월,12907,7780,0.659,0,12033,10,179,2,683
0 ~ 10,2007년 03월,10215,9753,0.047,0,8997,8,179,1,1030
0 ~ 10,2007년 04월,11104,11003,0.009,0,9437,19,434,2,1212
0 ~ 10,2007년 05월,10370,11048,-0.061,0,9230,7,285,0,848
0 ~ 10,2007년 06월,12859,12270,0.048,0,11613,9,297,0,940
0 ~ 10,2007년 07월,18072,17761,0.018,0,15887,23,583,0,1579
0 ~ 10,2007년 08월,21931,21876,0.003,0,18734,14,602,4,2577
0 ~ 10,2007년 09월,9578,7782,0.231,0,7988,9,302,2,1277
0 ~ 10,2007년 10월,10236,10027,0.021,0,9283,4,198,0,751
0 ~ 10,2007년 11월,9426,8618,0.094,0,8434,3,335,1,653
0 ~ 10,2007년 12월,19011,19670,-0.034,0,17577,7,275,0,1152
0 ~ 10,2008년 01월,11888,11356,0.047,0,9969,7,401,0,1511
0 ~ 10,2008년 02월,11646,12907,-0.098,0,10336,10,193,1,1106
0 ~ 10,2008년 03월,11852,10215,0.16,0,10379,8,214,0,1251
0 ~ 10,2008년 04월,10891,11104,-0.019,0,9533,1,441,1,915
0 ~ 10,2008년 05월,11514,10370,0.11,0,10298,8,302,0,906
0 ~ 10,2008년 06월,14114,12859,0.098,0,12743,9,360,0,1002
0 ~ 10,2008년 07월,20311,18072,0.124,0,18280,10,560,0,1461
0 ~ 10,2008년 08월,22267,21931,0.015,0,18949,13,621,2,2682
0 ~ 10,2008년 09월,9867,9578,0.03,0,8748,7,238,2,872
0 ~ 10,2008년 10월,9736,10236,-0.049,0,8830,2,241,0,663
0 ~ 10,2008년 11월,9101,9426,-0.034,0,8181,2,255,1,662
0 ~ 10,2008년 12월,21964,19011,0.155,0,20714,7,279,1,963
0 ~ 10,2009년 01월,19163,11888,0.612,0,17187,3,377,0,1596
0 ~ 10,2009년 02월,9643,11646,-0.172,0,8840,2,202,0,599
0 ~ 10,2009년 03월,13673,11852,0.154,0,12517,1,191,1,963
0 ~ 10,2009년 04월,16334,10891,0.5,0,15012,5,475,0,842
0 ~ 10,2009년 05월,12373,11514,0.075,0,11434,4,272,0,663
0 ~ 10,2009년 06월,13881,14114,-0.017,0,12933,11,343,0,594
0 ~ 10,2009년 07월,22722,20311,0.119,0,21068,16,606,1,1031
0 ~ 10,2009년 08월,26521,22267,0.191,0,23714,12,619,4,2172
0 ~ 10,2009년 09월,11124,9867,0.127,0,10319,15,289,1,500
0 ~ 10,2009년 10월,12693,9736,0.304,0,11557,8,315,0,813
0 ~ 10,2009년 11월,9627,9101,0.058,0,8611,4,357,0,655
0 ~ 10,2009년 12월,21512,21964,-0.021,0,20087,4,357,0,1064
0 ~ 10,2010년 01월,13744,19163,-0.283,0,11680,4,430,1,1629
0 ~ 10,2010년 02월,16020,9643,0.661,0,14721,6,222,2,1069
0 ~ 10,2010년 03월,14679,13673,0.074,0,13133,3,256,0,1287
0 ~ 10,2010년 04월,15936,16334,-0.024,0,14214,4,540,0,1178
0 ~ 10,2010년 05월,13564,12373,0.096,0,12349,7,339,1,868
0 ~ 10,2010년 06월,17785,13881,0.281,0,16191,7,490,1,1096
0 ~ 10,2010년 07월,29196,22722,0.285,0,27150,3,319,4,1720
0 ~ 10,2010년 08월,31938,26521,0.204,0,28889,13,381,2,2653
0 ~ 10,2010년 09월,13767,11124,0.238,0,12185,5,155,3,1419
0 ~ 10,2010년 10월,14518,12693,0.144,0,13619,5,115,0,779
0 ~ 10,2010년 11월,11853,9627,0.231,0,10903,5,146,0,799
0 ~ 10,2010년 12월,22511,21512,0.046,0,21062,4,192,0,1253
0 ~ 10,2011년 01월,15006,13744,0.092,0,12909,2,253,0,1842
