기간,구분,집계관광지수,합계,소계,내국인,외국인,소계,내국인,외국인,비고
2021,합계,19,11215825,9777723,9691011,86712,1438102,1418382,19720,-
2021,종로구,4,2501433,2501433,2455991,45442,0,0,0,경복궁 종묘 창경궁 창덕궁
2021,중구,3,2987028,1548926,1531331,17595,1438102,1418382,19720,덕수궁 남산골한옥마을 서울시립미술관본관
2021,용산구,1,1273173,1273173,1259054,14119,0,0,0,국립중앙박물관
2021,동대문구,2,25024,25024,24535,489,0,0,0,서울약령시한의약박물관 세종대왕기념관
2021,노원구,1,77589,77589,77515,74,0,0,0,태릉·강릉·조선왕릉전시관
2021,서대문구,2,182869,182869,181418,1451,0,0,0,서대문자연사박물관 서대문형무소역사관
2021,마포구,1,13622,13622,8635,4987,0,0,0,트릭아이미술관
2021,서초구,1,44941,44941,44927,14,0,0,0,헌릉·인릉
2021,강남구,1,413616,413616,411075,2541,0,0,0,선릉·정릉
2021,송파구,3,3696530,3696530,3696530,0,0,0,0,롯데월드서울스카이아쿠아리움
