목적별,연도,합계(명),전년도(명),성장률(%),구성비(%),관광,상용,공용,유학연수,기타
관광,2005년 01월,322657,0,0,0.2,322657,0,0,0,
관광,2005년 02월,349959,0,0,0.2,349959,0,0,0,
관광,2005년 03월,393081,0,0,0.2,393081,0,0,0,
관광,2005년 04월,357776,0,0,0.2,357776,0,0,0,
관광,2005년 05월,331303,0,0,0.2,331303,0,0,0,
관광,2005년 06월,333070,0,0,0.2,333070,0,0,0,
관광,2005년 07월,349743,0,0,0.2,349743,0,0,0,
관광,2005년 08월,369458,0,0,0.2,369458,0,0,0,
관광,2005년 09월,365581,0,0,0.2,365581,0,0,0,
관광,2005년 10월,426625,0,0,0.3,426625,0,0,0,
관광,2005년 11월,377193,0,0,0.2,377193,0,0,0,
관광,2005년 12월,370768,0,0,0.2,370768,0,0,0,
관광,2006년 01월,290245,322657,-10,0.2,290245,0,0,0,
관광,2006년 02월,305287,349959,-12.8,0.2,305287,0,0,0,
관광,2006년 03월,370761,393081,-5.7,0.2,370761,0,0,0,
관광,2006년 04월,357905,357776,0,0.2,357905,0,0,0,
관광,2006년 05월,373167,331303,12.6,0.2,373167,0,0,0,
관광,2006년 06월,361529,333070,8.5,0.2,361529,0,0,0,
관광,2006년 07월,349534,349743,-0.1,0.2,349534,0,0,0,
관광,2006년 08월,396209,369458,7.2,0.2,396209,0,0,0,
관광,2006년 09월,388588,365581,6.3,0.2,388588,0,0,0,
관광,2006년 10월,425179,426625,-0.3,0.3,425179,0,0,0,
관광,2006년 11월,385149,377193,2.1,0.2,385149,0,0,0,
관광,2006년 12월,361098,370768,-2.6,0.2,361098,0,0,0,
관광,2007년 01월,296669,290245,2.2,0.2,296669,0,0,0,
관광,2007년 02월,334327,305287,9.5,0.2,334327,0,0,0,
관광,2007년 03월,368964,370761,-0.5,0.2,368964,0,0,0,
관광,2007년 04월,361083,357905,0.9,0.2,361083,0,0,0,
관광,2007년 05월,359477,373167,-3.7,0.2,359477,0,0,0,
관광,2007년 06월,359226,361529,-0.6,0.2,359226,0,0,0,
관광,2007년 07월,350553,349534,0.3,0.2,350553,0,0,0,
관광,2007년 08월,377860,396209,-4.6,0.2,377860,0,0,0,
관광,2007년 09월,365407,388588,-6,0.2,365407,0,0,0,
관광,2007년 10월,453625,425179,6.7,0.3,453625,0,0,0,
관광,2007년 11월,389294,385149,1.1,0.2,389294,0,0,0,
관광,2007년 12월,371949,361098,3,0.2,371949,0,0,0,
관광,2008년 01월,303800,296669,2.4,0.2,303800,0,0,0,
관광,2008년 02월,330912,334327,-1,0.2,330912,0,0,0,
관광,2008년 03월,386578,368964,4.8,0.2,386578,0,0,0,
관광,2008년 04월,384764,361083,6.6,0.2,384764,0,0,0,
관광,2008년 05월,389666,359477,8.4,0.2,389666,0,0,0,
관광,2008년 06월,367888,359226,2.4,0.2,367888,0,0,0,
관광,2008년 07월,388089,350553,10.7,0.2,388089,0,0,0,
관광,2008년 08월,366517,377860,-3,0.2,366517,0,0,0,
관광,2008년 09월,392131,365407,7.3,0.2,392131,0,0,0,
관광,2008년 10월,449340,453625,-0.9,0.3,449340,0,0,0,
관광,2008년 11월,407431,389294,4.7,0.2,407431,0,0,0,
관광,2008년 12월,474688,371949,27.6,0.3,474688,0,0,0,
관광,2009년 01월,441688,303800,45.4,0.3,441688,0,0,0,
관광,2009년 02월,453450,330912,37,0.3,453450,0,0,0,
관광,2009년 03월,523411,386578,35.4,0.3,523411,0,0,0,
관광,2009년 04월,526297,384764,36.8,0.3,526297,0,0,0,
관광,2009년 05월,409679,389666,5.1,0.2,409679,0,0,0,
관광,2009년 06월,371321,367888,0.9,0.2,371321,0,0,0,
관광,2009년 07월,444465,388089,14.5,0.3,444465,0,0,0,
관광,2009년 08월,484305,366517,32.1,0.3,484305,0,0,0,
관광,2009년 09월,503702,392131,28.5,0.3,503702,0,0,0,
관광,2009년 10월,556282,449340,23.8,0.3,556282,0,0,0,
관광,2009년 11월,480417,407431,17.9,0.3,480417,0,0,0,
관광,2009년 12월,490275,474688,3.3,0.3,490275,0,0,0,
관광,2010년 01월,400846,441688,-9.2,0.2,400846,0,0,0,
관광,2010년 02월,446579,453450,-1.5,0.3,446579,0,0,0,
관광,2010년 03월,545442,523411,4.2,0.3,545442,0,0,0,
관광,2010년 04월,543297,526297,3.2,0.3,543297,0,0,0,
관광,2010년 05월,525340,409679,28.2,0.3,525340,0,0,0,
관광,2010년 06월,520474,371321,40.2,0.3,520474,0,0,0,
관광,2010년 07월,541085,444465,21.7,0.3,541085,0,0,0,
관광,2010년 08월,580207,484305,19.8,0.3,580207,0,0,0,
관광,2010년 09월,546739,503702,8.5,0.3,546739,0,0,0,
관광,2010년 10월,658244,556282,18.3,0.4,658244,0,0,0,
관광,2010년 11월,558324,480417,16.2,0.3,558324,0,0,0,
관광,2010년 12월,500389,490275,2.1,0.3,500389,0,0,0,
관광,2011년 01월,399998,400846,-0.2,0.2,399998,0,0,0,
관광,2011년 02월,430922,446579,-3.5,0.3,430922,0,0,0,
관광,2011년 03월,539278,545442,-1.1,0.3,539278,0,0,0,
관광,2011년 04월,543974,543297,0.1,0.3,543974,0,0,0,
관광,2011년 05월,535772,525340,2,0.3,535772,0,0,0,
관광,2011년 06월,586384,520474,12.7,0.3,586384,0,0,0,
관광,2011년 07월,667906,541085,23.4,0.4,667906,0,0,0,
관광,2011년 08월,718143,580207,23.8,0.4,718143,0,0,0,
관광,2011년 09월,674970,546739,23.5,0.4,674970,0,0,0,
관광,2011년 10월,768196,658244,16.7,0.5,768196,0,0,0,
관광,2011년 11월,677254,558324,21.3,0.4,677254,0,0,0,
관광,2011년 12월,660296,500389,32,0.4,660296,0,0,0,
관광,2012년 01월,557008,399998,39.3,0.3,557008,0,0,0,
관광,2012년 02월,574347,430922,33.3,0.3,574347,0,0,0,
관광,2012년 03월,711326,539278,31.9,0.4,711326,0,0,0,
관광,2012년 04월,773569,543974,42.2,0.5,773569,0,0,0,
관광,2012년 05월,732888,535772,36.8,0.4,732888,0,0,0,
관광,2012년 06월,755401,586384,28.8,0.4,755401,0,0,0,
관광,2012년 07월,811913,667906,21.6,0.5,811913,0,0,0,
관광,2012년 08월,854750,718143,19,0.5,854750,0,0,0,
관광,2012년 09월,766355,674970,13.5,0.5,766355,0,0,0,
관광,2012년 10월,793089,768196,3.2,0.5,793089,0,0,0,
관광,2012년 11월,663682,677254,-2,0.4,663682,0,0,0,
관광,2012년 12월,662490,660296,0.3,0.4,662490,0,0,0,
관광,2013년 01월,570758,557008,2.5,0.3,570758,0,0,0,
관광,2013년 02월,608384,574347,5.9,0.4,608384,0,0,0,
관광,2013년 03월,756798,711326,6.4,0.4,756798,0,0,0,
관광,2013년 04월,727217,773569,-6,0.4,727217,0,0,0,
관광,2013년 05월,658412,732888,-10.2,0.4,658412,0,0,0,
관광,2013년 06월,760357,755401,0.7,0.4,760357,0,0,0,
관광,2013년 07월,872436,811913,7.5,0.5,872436,0,0,0,
관광,2013년 08월,986570,854750,15.4,0.6,986570,0,0,0,
관광,2013년 09월,853274,766355,11.3,0.5,853274,0,0,0,
관광,2013년 10월,837826,793089,5.6,0.5,837826,0,0,0,
관광,2013년 11월,710478,663682,7.1,0.4,710478,0,0,0,
관광,2013년 12월,733178,662490,10.7,0.4,733178,0,0,0,
관광,2014년 01월,640335,570758,12.2,0.4,640335,0,0,0,
관광,2014년 02월,643532,608384,5.8,0.4,643532,0,0,0,
관광,2014년 03월,865927,756798,14.4,0.5,865927,0,0,0,
관광,2014년 04월,981715,727217,35,0.6,981715,0,0,0,
관광,2014년 05월,951282,658412,44.5,0.6,951282,0,0,0,
관광,2014년 06월,946177,760357,24.4,0.6,946177,0,0,0,
관광,2014년 07월,1029905,872436,18,0.6,1029905,0,0,0,
관광,2014년 08월,1084204,986570,9.9,0.6,1084204,0,0,0,
관광,2014년 09월,939728,853274,10.1,0.6,939728,0,0,0,
관광,2014년 10월,1056804,837826,26.1,0.6,1056804,0,0,0,
관광,2014년 11월,900170,710478,26.7,0.5,900170,0,0,0,
관광,2014년 12월,887701,733178,21.1,0.5,887701,0,0,0,
관광,2015년 01월,723255,640335,12.9,0.4,723255,0,0,0,
관광,2015년 02월,815138,643532,26.7,0.5,815138,0,0,0,
관광,2015년 03월,958493,865927,10.7,0.6,958493,0,0,0,
관광,2015년 04월,1112904,981715,13.4,0.7,1112904,0,0,0,
관광,2015년 05월,1060730,951282,11.5,0.6,1060730,0,0,0,
관광,2015년 06월,517926,946177,-45.3,0.3,517926,0,0,0,
관광,2015년 07월,419430,1029905,-59.3,0.2,419430,0,0,0,
관광,2015년 08월,730808,1084204,-32.6,0.4,730808,0,0,0,
관광,2015년 09월,907874,939728,-3.4,0.5,907874,0,0,0,
관광,2015년 10월,1076153,1056804,1.8,0.6,1076153,0,0,0,
관광,2015년 11월,911647,900170,1.3,0.5,911647,0,0,0,
관광,2015년 12월,901131,887701,1.5,0.5,901131,0,0,0,
관광,2016년 01월,865064,723255,19.6,0.5,865064,0,0,0,
관광,2016년 02월,849995,815138,4.3,0.5,849995,0,0,0,
관광,2016년 03월,1123465,958493,17.2,0.7,1123465,0,0,0,
관광,2016년 04월,1214201,1112904,9.1,0.7,1214201,0,0,0,
관광,2016년 05월,1202692,1060730,13.4,0.7,1202692,0,0,0,
관광,2016년 06월,1277116,517926,146.6,0.8,1277116,0,0,0,
관광,2016년 07월,1405496,419430,235.1,0.8,1405496,0,0,0,
관광,2016년 08월,1312514,730808,79.6,0.8,1312514,0,0,0,
관광,2016년 09월,1199450,907874,32.1,0.7,1199450,0,0,0,
관광,2016년 10월,1303692,1076153,21.1,0.8,1303692,0,0,0,
관광,2016년 11월,1076471,911647,18.1,0.6,1076471,0,0,0,
관광,2016년 12월,1102769,901131,22.4,0.6,1102769,0,0,0,
관광,2017년 01월,978223,865064,13.1,0.6,978223,0,0,0,
관광,2017년 02월,952948,849995,12.1,0.6,952948,0,0,0,
관광,2017년 03월,970389,1123465,-13.6,0.6,970389,0,0,0,
관광,2017년 04월,854669,1214201,-29.6,0.5,854669,0,0,0,
관광,2017년 05월,738590,1202692,-38.6,0.4,738590,0,0,0,
관광,2017년 06월,775181,1277116,-39.3,0.5,775181,0,0,0,
관광,2017년 07월,782389,1405496,-44.3,0.5,782389,0,0,0,
관광,2017년 08월,817226,1312514,-37.7,0.5,817226,0,0,0,
관광,2017년 09월,839415,1199450,-30,0.5,839415,0,0,0,
관광,2017년 10월,899881,1303692,-31,0.5,899881,0,0,0,
관광,2017년 11월,880745,1076471,-18.2,0.5,880745,0,0,0,
관광,2017년 12월,925938,1102769,-16,0.5,925938,0,0,0,
관광,2018년 01월,742732,978223,-24.1,0.4,742732,0,0,0,
관광,2018년 02월,790477,952948,-17,0.5,790477,0,0,0,
관광,2018년 03월,1085542,970389,11.9,0.6,1085542,0,0,0,
관광,2018년 04월,1091353,854669,27.7,0.6,1091353,0,0,0,
관광,2018년 05월,991449,738590,34.2,0.6,991449,0,0,0,
관광,2018년 06월,1055855,775181,36.2,0.6,1055855,0,0,0,
관광,2018년 07월,1030612,782389,31.7,0.6,1030612,0,0,0,
관광,2018년 08월,1100711,817226,34.7,0.6,1100711,0,0,0,
관광,2018년 09월,1013326,839415,20.7,0.6,1013326,0,0,0,
관광,2018년 10월,1269201,899881,41,0.7,1269201,0,0,0,
관광,2018년 11월,1130709,880745,28.4,0.7,1130709,0,0,0,
관광,2018년 12월,1112381,925938,20.1,0.7,1112381,0,0,0,
관광,2019년 01월,884293,742732,19.1,0.5,884293,0,0,0,
관광,2019년 02월,907928,790477,14.9,0.5,907928,0,0,0,
관광,2019년 03월,1251744,1085542,15.3,0.7,1251744,0,0,0,
관광,2019년 04월,1382540,1091353,26.7,0.8,1382540,0,0,0,
관광,2019년 05월,1233562,991449,24.4,0.7,1233562,0,0,0,
관광,2019년 06월,1237840,1055855,17.2,0.7,1237840,0,0,0,
관광,2019년 07월,1218767,1030612,18.3,0.7,1218767,0,0,0,
관광,2019년 08월,1251764,1100711,13.7,0.7,1251764,0,0,0,
관광,2019년 09월,1178421,1013326,16.3,0.7,1178421,0,0,0,
