"문화공간코드","문화공간명","교통구분코드","교통구분명","교통정보"
"100656","은평 문화관광","B","간선버스","702 752"
"100471","공갤러리","A","공항버스","601 602"
"100470","갤러리 상","T","버스정류장","종로경찰서(안국역)"
"100472","덕원갤러리","R","광역버스","5500 9301(마방집) 9301(신장시장) 9301(하남시청) 9401 9402 9411"
"100471","공갤러리","S","지하철","1호선 종로3가 (5번출구) 도보 3분  3호선 안국 (6번출구) 도보 6분"
"100468","갤러리 라메르","G","지선버스","0212 1020"
"100466","한국미술박물관","T","버스정류장","창덕궁"
"100448","경찰박물관","Y","순환버스","01"
"100464","LG상남도서관","S","지하철","3호선 안국역"
"100463","일본공보문화원","S","지하철","3호선 안국 (4번출구)"
"100462","운현궁","A","공항버스","6011"
"100460","국립서울과학관","G","지선버스","창경궁: 1011 1018 1019"
"100458","두산아트센터 space111","Y","순환버스","01"
"100457","연강홀","T","버스정류장","종로5가"
"100456","의학박물관","G","지선버스","종로07 종로08 1012 1011 1018 1019 2112 1011 1018"
"100588","[한옥체험]한옥문화원","S","지하철","3호선 안국역"
"100588","[한옥체험]한옥문화원","T","버스정류장","창덕궁"
"100588","[한옥체험]한옥문화원","G","지선버스","7025"
"100588","[한옥체험]한옥문화원","B","간선버스","109 151 162 171 172 272"
"100588","[한옥체험]한옥문화원","A","공항버스","602-1"
"100645","금천구 문화관광","G","지선버스","5527 5530 5531 5533 5617 5618 5623 5624 5625 5626 5713 6634"
"100592","반야로 차도 문화원","S","지하철","3호선 안국역"
"100645","금천구 문화관광","T","버스정류장","시흥사거리 도보 100m 거리 "
"100645","금천구 문화관광","B","간선버스","150 500 570"
"100647","도봉구 문화관광인물","S","지하철","4호선 쌍문 (1번출구) 의정부 방향 500m 도보"
"100649","동작구 문화관광","G","지선버스","5011 5516 5517 5529 5535 5536 5614 5531 5614 6211 6411"
"100649","동작구 문화관광","B","간선버스","152 500 504 641 650 751 752 150 360 361 363 507 605 640"
"100649","동작구 문화관광","R","광역버스","9408 9412"
"100662","마포구 명소탐방","T","버스정류장","아현초등학교 "
"100661","서초구 문화관광","S","지하철","3호선 양재역 하차 8번출구"
"100661","서초구 문화관광","T","버스정류장","서초구청"
"100661","서초구 문화관광","G","지선버스","4312 4417 4421 4422 4423 4424 4511 5411"
"100661","서초구 문화관광","B","간선버스","140 400 402 406 470 641"
"100661","서초구 문화관광","R","광역버스","9400 9404 9405 9406 9408 9409 9410 9411 9412 9503 9700"
"100659","송파구 문화유적","S","지하철","2호선 종합운동장역 2번출구"
"100659","송파구 문화유적","T","버스정류장","송파문화원 앞"
"100659","송파구 문화유적","G","지선버스","3217 3218 3314 3411 3412 3414 3415 3417"
"100659","송파구 문화유적","B","간선버스","301 361"
"100659","송파구 문화유적","R","광역버스","2225"
"100659","송파구 문화유적","A","공항버스","606"
"100657","영등포구 문화관광","G","지선버스","5012 5614 5615 5616 5618 5625 5627 5714 6512 6513 6514 6628 6629 6630 6631 6638"
"100650","서대문 명소","B","간선버스","110 170"
"100652","중랑구 문화재명소","S","지하철","1호선 신이문역 6호선 봉화산역 7호선 중화역"
"100658","양천구 명소","T","버스정류장","양천구민체육센터"
"100650","서대문 명소","G","지선버스","7713 7720 7713 7738 7739"
"100658","양천구 명소","G","지선버스","5630 6615 6619 6620 6621 6622 6624 6625 6627(화곡방향) 6636"
"100658","양천구 명소","B","간선버스","571"
"100656","은평 문화관광","T","버스정류장","은평구청"
"100656","은평 문화관광","G","지선버스","7019(대림시장) 7019(시립병원) 7712(신촌방향) 7712(충정로방향) 7717 7719 7722 7730"
"100656","은평 문화관광","R","광역버스","9701 9705"
"100607","[템플스테이]묘각사 ","S","지하철","1호선 신설동 역에서 하차 - 11번 출구 - 동대문 방향 - 묘각사"
"100560","경복궁","B","간선버스","162 171 272 601 606"
"100562","덕수궁","S","지하철","1호선 시청 (2번출구)  2호선 시청 (12번출구) "
"100562","덕수궁","Y","순환버스","01"
"100560","경복궁","R","광역버스","9602"
"100561","경희궁","S","지하철","5호선 서대문 (4번출구) "
"100561","경희궁","G","지선버스","7023"
"100561","경희궁","B","간선버스","160 161 260 270 271 300 370 470 471 600 601 602 702 704 720"
"100561","경희궁","R","광역버스","9602 9701 9705 9709 9710"
"100561","경희궁","A","공항버스","605"
"100562","덕수궁","R","광역버스","9706"
"100564","창덕궁","S","지하철","3호선 안국 (3번출구) "
"100564","창덕궁","G","지선버스","1012"
"100563","창경궁","G","지선버스","1011 1018 1019"
"100563","창경궁","B","간선버스","104 162 272"
"100563","창경궁","R","광역버스","9101 9410"
"100560","경복궁","S","지하철","경복궁 (3호선 5번출구) "
"100564","창덕궁","B","간선버스","151 162 171 172 272 601"
"100563","창경궁","S","지하철","4호선 혜화 (4번출구) "
"100560","경복궁","G","지선버스","0015 0212 1012 1020 7012 7020"
"100653","용산구 가이드","T","버스정류장","용산구청"
"100653","용산구 가이드","G","지선버스","0015 0016 0211 1711 7016"
"100595","예지원","B","간선버스","420"
"100595","예지원","S","지하철","3호선 동대입구역"
"100576","[예술문화]옻칠 공방","T","버스정류장","정독독서실"
"100576","[예술문화]옻칠 공방","G","지선버스","종로01 종로02"
"100578","[예술문화]하늘 물빛","S","지하철","3호선 안국역"
"100578","[예술문화]하늘 물빛","T","버스정류장","감사원 앞"
"100578","[예술문화]하늘 물빛","G","지선버스","종로02"
"100580","[예술문화]茶家 올물","S","지하철","3호선 안국역"
"100580","[예술문화]茶家 올물","T","버스정류장","삼청파출소"
"100580","[예술문화]茶家 올물","G","지선버스","종로11"
"100581","[한옥체험]가회박물관","S","지하철","3호선 안국역"
"100581","[한옥체험]가회박물관","T","버스정류장","돈미약국"
"100581","[한옥체험]가회박물관","G","지선버스","종로02"
"100582","[한옥체험]락고재","S","지하철","3호선 안국역"
"100582","[한옥체험]락고재","T","버스정류장","현대사거리"
"100582","[한옥체험]락고재","G","지선버스","종로01"
"100589","북촌문화센터","S","지하철","3호선 안국역"
"100589","북촌문화센터","T","버스정류장","안국역"
"100589","북촌문화센터","G","지선버스","7025"
"100589","북촌문화센터","R","광역버스","109 151 162 171 172 272 601"
"100589","북촌문화센터","A","공항버스","602-1"
"100596","중요 무형문화재 전수회관","T","버스정류장","라마다호텔 앞"
"100596","중요 무형문화재 전수회관","G","지선버스","4312 3219"
"100596","중요 무형문화재 전수회관","B","간선버스","472"
"100566","선정릉","S","지하철","2호선 선릉역 8번출구 7호선 강남구청역 1번출구"
"100566","선정릉","T","버스정류장","선릉"
"100566","선정릉","G","지선버스","6411431236032194420 "
"100566","선정릉","B","간선버스","472730146"
"100596","중요 무형문화재 전수회관","R","광역버스","9414"
"100568","종묘","S","지하철","종로3가역에서 도보로 5분거리(1호선-11번 3호선-8번 5호선-8번 출구) "
"100569","태릉ㆍ강릉","S","지하철","1호선(1번출구)  6호선 (1번출구)  7호선(7번출구) 에서 버스로 환승"
"100569","태릉ㆍ강릉","G","지선버스","1155 1156 1225"
"100569","태릉ㆍ강릉","B","간선버스","202"
"100596","중요 무형문화재 전수회관","S","지하철","2호선 선릉역 8번 출구 7호선 강남구청역 1번출구"
"100664","강동구 문화관광","S","지하철","8호선 강동구청역 2번출구"
"100666","강서 문화관광","B","간선버스","604 606 650 661 588-2"
"100643","광진구 역사문화관광","S","지하철","2호선 강변역"
"100643","광진구 역사문화관광","T","버스정류장","테크노마트"
"100643","광진구 역사문화관광","G","지선버스","2224 2232 3212 3214 4213"
"100644","구로구 여행레저","S","지하철","1호선 구로역 신도림역"
