외국어 가능 약국 현황,,,,,
,(2015. 10. 30. 기준),,,,
연번,자치구,약국이름,주소,전화번호,가능 외국어
1,종로구,건강약국,혜화로 2(혜화동),764-9918,영어
2,종로구,공생약국,"종로 228, 1층(종로5가)",2273-7826,"영어,일어"
3,종로구,그린약국,종로 313(창신동),745-2112,영어
4,종로구,녹십자약국,창신길 17(창신동),765-2766,영어
5,종로구,단골약국,지봉로 50(숭인동),745-0731,영어
6,종로구,대성약국,"청계천로 291,가동1층(창신동,동대문상가)",743-5800,영어
7,종로구,대서울약국,"창경궁로 158,2층(원남동)",762-6060,영어
8,종로구,대학약국,"창경궁로 162,1,2층(원남동)",3672-3672,영어
9,종로구,독일약국,종로 314(창신동),764-5511,영어
10,종로구,동서약국,종로 222(종로5가),2266-8911,영어
11,종로구,동아약국,종로 192(종로4가),2285-5702,"영어,일어"
12,종로구,동인약국,창신길 11(창신동),743-7371,영어
13,종로구,메디칼서울약국,대학로9길 6(명륜4가),766-9000,"영어,중국어"
14,종로구,믿음약국,"종로 335-1,지하1층(창신동,명제빌딩)",745-6678,영어
15,종로구,보광약국,"대학로93-3,1층(연건동)",762-2515,"영어,일어"
16,종로구,보람약국,종로 326(창신동),743-7915,영어
17,종로구,보령약국,종로 203(종로5가),763-8181,"영어,중국어"
18,종로구,삼정바로약국,"새문안로 27,1층(평동)",736-3385,영어
19,종로구,종로제일약국,종로 205(종로5가),3672-8558,"영어,중국어,일어"
20,종로구,새현대약국,"사직로 130, 38호(적선동)",720-5662,"영어, 중국어,일어"
21,종로구,서울종로약국,대학로 117(명륜4가),3676-1400,영어
22,종로구,성심약국,"지봉로 61, 1층 (창신동)",743-2062,영어
23,종로구,성진약국,창경궁로 271-1 (혜화동),762-2211,영어
24,종로구,숭인약국,"종로 407, 1층 (숭인동)",929-0754,영어
25,종로구,숭인다모아약국,지봉로8길 54 (숭인동),765-5885,영어
26,종로구,시민약국,자하문로 2 (적선동),736-6512,영어
27,종로구,열린약국,종로 204 (종로4가),2264-8211,"영어,일어"
28,종로구,인제약국,종로 194 (종로4가),2266-4312,"영어,일어"
29,종로구,정문약국,창경궁로 162-2 (원남동),765-7200,"영어,일어,중국어"
30,종로구,제신약국,"종로 266, D동 (종로6가)",2279-7388,영어
31,종로구,종근당약국,종로 230-1 (종로5가),2274-1311,"영어,일어"
32,종로구,종로백제약국,종로 235 (종로5가),745-8492,영어
33,종로구,종로프라자약국,자하문로 63 (옥인동),736-0806,영어
34,종로구,충신약국,율곡로 259 (충신동),762-9909,영어
35,종로구,한독약국,동숭길 52 (동숭동),762-4636,영어
36,종로구,함춘약국,대학로 93 (연건동),741-0370,영어
37,중구,세계약국,"남대문로 67,명동지하상가바-2 (남대문로2가)",776-8000,"영어, 일본어, 중국어"
38,중구,서울약국,세종대로21길 63 (태평로1가),737-2636,영어
39,중구,백조약국,세종대로21길 61 (태평로1가),738-8808,"영어, 일본어, 중국어"
40,중구,인우약국,중구 중림로 21 (중림동),392-7291,영어
41,중구,남시약국,남대문로 18 (남대문로3가),753-7466,"영어, 일본어"
42,중구,희구약국,남대문시장4길 35 (남창동),752-0229,영어
43,중구,새삼성약국,남대문로 16-1 (남대문로4가),756-3301,엉어
44,중구,서울왕약국,남대문로 22 (남대문로3가),3789-7048,"영어, 일본어"
45,중구,남산우리약국,"소공로 35, 102호(회현동1가, 남산롯데캐슬아이리스)",3789-7582,"영어, 중국어"
46,중구,대우사약국,세종대로 22 (남대문로5가),753-2703,영어
47,중구,신우신약국,남대문로5가,752-9086,영어
48,중구,센츄럴팜약국,"한강대로 405 (봉래동2가, 경부고속철도서울민자역사)",393-5505,"영어, 일본어"
49,중구,새원약국,명동길 52 (명동2가),776-4476,"영어, 일본어, 중국어"
50,중구,연합약국,퇴계로 120 (남산동1가),778-3451,"영어, 일본어, 중국어"
51,중구,새충무약국,명동8가길 11 (충무로2가),776-4820,영어
52,중구,푸른약국,명동8길 47 (충무로2가),775-7428,"영어, 일본어"
53,중구,유네스코약국,"명동길 26 , 402호(명동2가, 유네스코회관)",778-7880,영어
54,중구,명동중앙약국,"명동8나길 49, 102호 (충무로1가,동남빌딩A동)",777-0505,영어
55,중구,명동사랑약국,"퇴계로 109,1층102호 (충무로1가)",778-9975,영어
56,중구,오성약국,퇴계로41길 51 (인현동2가),2279-5500,영어
57,중구,성균제일약국,퇴계로48길 31 (묵정동),2269-6872,영어
58,중구,신성약국,다산로 214 (신당동),2273-1390,영어
59,중구,하나약국,"무교로 32,408호 (무교동, 효령빌딩)",755-5155,영어
60,중구,을지수약국,마른내로 12 (저동2가),2275-2113,영어
61,중구,필약국,"필동로 14, 103호 (필동2가, 대평빌딩)",2268-7552,영어
62,중구,지하근화사약국,"을지로 지하 131, 3-11 (을지로3가, 을지로3구역지하쇼핑)",2272-4986,영어
63,중구,장수약국,퇴계로86길 6 (신당동),2252-2929,영어
64,중구,신라약국,남대문로9길 16 (다동),777-4826,영어
65,중구,보생당약국,퇴계로 192 (필동1가),2267-8830,중국어
66,중구,왕란약국,을지로44길 20 (광희동1가),2267-1492,중국어
67,용산구,메디팜최약국,"용산구 청파로 324, 1층(청파동1가)",715-6009,영어
68,용산구,명진당약국,용산구 청파로 387(서계동),717-5603,영어
69,용산구,소명약국,용산구 우사단로 43(이태원동),795-9954,영어
70,용산구,전약국,용산구 원효로25길 31(원효로4가),979-9834,영어
71,용산구,종로프라자약국,"용산구 한강대로23길 55, 지하2층 이마트내(한강로3가)",2012-1276,영어
72,용산구,제일약국,용산구 대사관로60(한남동),792-8422,영어
73,용산구,현대온누리약국,용산구 이촌로280(이촌동),795-9842,영어
74,용산구,우리약국,"용산구 한강대로23길 55, 리빙관 6층 218호(한강로3가)",2012-1507,영어
75,용산구,가장큰태평양약국,용산구 대사관로 52(한남동),790-3376,영어
76,용산구,공항약국,용산구 청파로 378 1층(동자동),313-2780,"영어, 일본어, 중국어"
77,용산구,수약국,용산구 백범로 283(효창동),701-8224,영어
78,용산구,이촌프라자약국,"용산구 이촌로88길 3, 1층 12-2호(이촌동)",749-8686,영어
79,용산구,원효약국,"용산구 원효로 166, 103호(원효로2가, 원효아파트)",6407-7234,중국어
80,용산구,하이약국,"용산구 한강대로 256, 1층(남영동, 수빌딩)",070-4122-1004,영어
81,용산구,금보약국,"용산구 원효로 51ㅡ 110호(산천동, 삼성테마트상가)",718-3673,영어
82,용산구,밝은누리약국,용산구 녹사평대로 32길 47 지하1층(이태원동),792-2621,영어
83,용산구,동부약국,용산구 이촌로 245(이촌1동),795-6242,일어
84,성동구,신금호약국,성동구 행당로 1(금호동1가),2282-5230,영어
85,성동구,평안약국,성동구 고산자로6길 40(행당동),2294-8111,영어
86,성동구,대학약국,성동구 사근동길 4(행당동),2293-0554,일본어
87,성동구,일진약국,성동구 용답중앙길 80-1(용답동),2245-3665,영어
88,성동구,영민약국,성동구 성수일로 10길 32(성수동2가),466-1377,영어
89,성동구,다나을약국,성동구 장터1길 2(금호동3가),2231-1703,영어
90,성동구,기린약국,성동구 독서당로 173(옥수동),2299-8850,영어
91,성동구,유명한약국,성동구 독서당로 295-1(금호동3가),2238-9268,영어
92,성동구,대중약국,성동구 왕십리로 379(하왕십리동),2292-4418,영어
93,성동구,메디팜한솔약국,성동구 행당로 84(행당동),2282-7948,영어
94,성동구,명동온누리약국,"성동구 고산자로 164, 107호(행당동, 행당한신A)",2281-7292,영어
95,성동구,혜민약국,성동구 마조로 30(행당동),2293-2729,영어
96,성동구,정민약국,성동구 용답중앙 3나길 24(용답동),2212-8762,영어
97,성동구,제일약국,성동구 독서당로 378(응봉동),2293-6946,영어
98,광진구,구내약국,광진구 워커힐로 177 (광장동),02-450-4759,"영어, 일본어"
99,광진구,천사약국,"광진구 능동로 409, 1층 (중곡동)",02-463-9380,영어
100,광진구,동서울약국,"강변역로 50, 124호 (구의동)",02-452-0015,영어
101,동대문구,삼성엠(M)약국,동대문구 왕산로 247-1(청량리동),967-3315,영어
102,동대문구,세광약국,동대문구 왕산로 171(제기동),962-8989,"영어,일어"
103,동대문구,복지약국,동대문구 천호대로 227(답십리동),2217-3606,영어
104,동대문구,참이화약국,"동대문구 천호대로 307,104호(답십리동,클래식타워)",2247-5029,"영어,중국어"
105,동대문구,장안평약국,동대문구 답십리로 304(장안동),2212-9430,영어
106,동대문구,새이화약국,"동대문구 장한로 140, 1층(장안동)",2214-2488,"영어,스페인어"
107,동대문구,나나약국,동대문구 장한로18길 59(장안동),2245-2594,영어
108,동대문구,동대문보건약국,동대문구 고산자로28가길 2(용두동),965-7162,영어
109,동대문구,동대문21세기약국,"동대문구 천호대로 13,지하1층(용두동,홈플러스)",964-1717,영어
110,동대문구,답십리백화점약국,동대문구 전농로 102(답십리동),2215-9454,영어
111,동대문구,뉴메디칼약국,동대문구 전농로 147(전농동),2215-6291,영어
112,동대문구,신행당약국,"동대문구 사가정로 148,3층(전농동, SK아파트스포츠상가 )",2212-1931,영어
113,중랑구,은혜당약국,망우로32길 49,437-3337,영어
114,중랑구,새봉화,신내로 211  금강리빙스텔203-A,3421-3383,일본어
115,중랑구,건강제일온누리,동일로 786,491-1114,영어
116,중랑구,이안온누리,면목로 305,493-5074,"영어,중국어"
117,중랑구,나을,동일로 608,433-4955,영어
118,중랑구,태릉프라자,중랑역로 51,2208-0922,영어
119,중랑구,우리종로,용마산로 501,433-1100,영어
120,중랑구,서울메디칼,"신내로16길 17 ,서울메디칼타워 103호",3422-5000,영어
121,성북구,운용약국,성북구 회기로 9 (종암동),912-3417,일본어
122,성북구,강원약국,성북구 아리랑로 117-7 (정릉동),914-8814,영어
